"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"speed_ms";"impute_temp";"impute_sal";"CO2_CORSE";"CO2_PR";"CO2_LAMP";"impute_pCO2_w";"impute_ta";"impute_dic";"pCO2_atmos_dry";"pCO2_atmos";"impute_pCO2_atmos";"delta_pCO2"
2010-08-17;0;21.21;37.91;2552.76045;2224.49481;0.026;0.073;0.13;NA;NA;NA;NA;0.0730529230911949;1.42988921463832;3;8;33;1;0;8.07073355927252;1.24938568068876e-05;404.780410558419;406.138015273803;404.780410558419;406.138015273803;404.780410558419;406.138017369897;0.00197853482388769;0.00023346612930541;3.57457002555668;5.46462215070582;8.11987161678267;2558.82081508837;2229.77585808494;"2010-08";2010;"08";1.4702821;21.21;37.91;NA;NA;383.831;406.138015273803;2552.76045;2224.49481;383.831;372.047823470005;372.047823470005;34.0901918037982
2010-08-24;0;24.58;37.97;2555.11092;2213.29257;NA;NA;0.07;NA;NA;NA;NA;NA;NA;3;8;34;1;0;8.03959881785785;1.23980407431485e-05;438.801891329074;440.213887258007;438.801891329074;440.213887258007;438.801891329074;440.213889553714;0.00195704229426297;0.00024385223499387;3.779734967366;5.72191027181953;8.13994701758398;2557.12970661048;2215.04128680537;"2010-08";2010;"08";3.678405;24.58;37.97;NA;NA;388.875;440.213887258007;2555.11092;2213.29257;388.875;376.936978388661;376.936978388661;63.2769088693461
2010-08-31;0;23.92;38.06;2558.76165;2224.74486;NA;NA;0.12;NA;NA;NA;NA;NA;NA;3;8;35;1;0;8.03618667097963;1.27576796377564e-05;444.211746722058;445.652749119267;444.211746722058;445.652749119267;444.211746722058;445.652751504541;0.00197341821756105;0.00023856896280118;3.6852946056466;5.58973032154522;8.12644373553573;2554.72786915397;2221.23764266947;"2010-08";2010;"08";2.5632758;23.92;38.06;NA;NA;382.19;445.652749119267;2558.76165;2224.74486;382.19;370.457200309514;370.457200309514;75.1955488097529
2010-09-07;0;NA;NA;NA;NA;NA;NA;0.16;NA;NA;NA;NA;NA;NA;3;9;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2010-09";2010;"09";1.7238245;23.445;38.04;NA;387.78;383.551;430.581222384806;2558.21154;2220.719055;383.551;371.776419152554;371.776419152554;58.804803232252
2010-09-14;0;22.97;38.02;2557.66143;2216.69325;NA;NA;0.23;NA;NA;NA;NA;NA;NA;3;9;37;1;0;8.06166668795728;1.21927544226027e-05;414.150499139223;415.509695650344;414.150499139223;415.509695650344;414.150499139223;415.50969776524;0.0019618793095487;0.00024262118602868;3.73527816317135;5.68156873781544;8.13765237987192;2556.31600052604;2215.52718306155;"2010-09";2010;"09";2.5839994;22.97;38.02;NA;NA;385.663;415.509695650344;2557.66143;2216.69325;385.663;373.823583147042;373.823583147042;41.6861125033016
2010-09-21;0;22.33;38.02;2559.41178;2226.74526;NA;NA;0.16;NA;NA;NA;NA;NA;NA;3;9;38;1;0;8.05850399162596;1.25393662165874e-05;418.827530749689;420.212960252667;418.827530749689;420.212960252667;418.827530749689;420.212962444744;0.00197716277359431;0.00023704312018909;3.64071571690475;5.54793970051014;8.12469038021106;2558.0654297738;2225.57390531299;"2010-09";2010;"09";0.7378784;22.33;38.02;NA;386.885;384.311;420.212960252667;2559.41178;2226.74526;384.311;372.513088014207;372.513088014207;47.6998722384603
2010-09-28;0;22.24;38.15;2565.21294;2221.04412;0.007;0.136;0.15;NA;NA;NA;NA;0.0808537393917707;1.39497053986766;3;9;39;1;0;8.07474732236344;1.20146836104984e-05;400.626029303604;401.95269469675;400.626029303604;401.95269469675;400.626029303604;401.952696706215;0.00196464949325159;0.00024437994313791;3.74835721776146;5.71298995761264;8.13967466961574;2555.12691271297;2212.31131218873;"2010-09";2010;"09";1.3559401;22.24;38.15;NA;388.12;390.076;401.95269469675;2565.21294;2221.04412;390.076;378.1011090503;378.1011090503;23.8515856464502
2010-10-07;0;20.84;38.11;2563.96269;2223.04452;NA;NA;0.18;NA;NA;NA;NA;NA;NA;4;10;40;1;0;8.09198064875354;1.19191596418431e-05;382.725197617914;384.014699905055;382.725197617914;384.014699905055;382.725197617914;384.014701793544;0.00196940430157329;0.00024172105878486;3.69069199979787;5.64717081969533;8.13555659704912;2556.56211545526;2216.62796536342;"2010-10";2010;"10";0.7492102;20.84;38.11;NA;NA;NA;384.014699905055;2563.96269;2223.04452;NA;NA;377.065410788883;6.94928911617166
2010-10-12;0;19.79;38.14;2567.41338;2230.04592;0.009;0.286;0.17;NA;NA;NA;NA;0.0360197132224169;1.31131226244853;4;10;41;1;0;8.1016534173944;1.19758084819209e-05;373.695188050407;374.970798589153;373.695188050407;374.970798589153;373.695188050407;374.970800429714;0.00197911900610222;0.00023895110541585;3.63520949440979;5.57780657317702;8.1291538302809;2557.98920922916;2221.86011955952;"2010-10";2010;"10";11.9884405;19.79;38.14;NA;387.939;NA;374.970798589153;2567.41338;2230.04592;387.939;376.029712527467;376.029712527467;-1.05891393831399
2010-10-19;0;NA;NA;NA;NA;0.003;0.175;0.13;NA;NA;NA;NA;NA;NA;4;10;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2010-10";2010;"10";0.7766137;19.21;37.7266666666667;NA;389.086;NA;367.702429509289;2561.46219;2228.57896;389.086;377.141500927883;377.141500927883;-9.43907141859438
