"datetime";"Hour";"temp_eol_c";"sal_eol_psu";"oxy_eol_mll";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"NB_OBS_DAY"
"2017-10-15";"02:00:00";20.3565;38.2642;5.30775273091011;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"03:00:00";20.3356;38.26335;5.30676347437496;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"04:00:00";20.27265;38.2615;5.3177742178398;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"05:00:00";20.2615;38.25865;5.32528496130464;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"06:00:00";20.24185;38.25775;5.33179570476949;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"07:00:00";20.21425;38.259;5.32880644823433;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"08:00:00";20.2075;38.2585;5.31981719169917;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"09:00:00";20.25225;38.26275;5.28182793516401;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"11:00:00";20.36295;38.2601;5.2953494220937;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"12:00:00";20.48715;38.26025;5.28486016555854;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"13:00:00";20.49905;38.2589;5.26787090902338;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"14:00:00";20.64365;38.2636;5.30938165248823;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"15:00:00";20.65875;38.26295;5.32739239595307;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"16:00:00";20.6462;38.2627;5.31790313941791;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"17:00:00";20.60335;38.2623;5.30891388288275;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"18:00:00";20.5776;38.2622;5.2989246263476;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"19:00:00";20.5722;38.2615;5.30093536981244;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"20:00:00";20.56295;38.263;5.29844611327728;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"21:00:00";20.53295;38.26395;5.29695685674213;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"22:00:00";20.50725;38.2641;5.29346760020697;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"23:00:00";20.4711;38.26515;5.30497834367181;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-16";"00:00:00";20.43115;38.2665;5.31848908713665;"2017";"10";"2017-10";"2017-10-16";31;23
"2017-10-16";"01:00:00";20.3855;38.2662;5.3249998306015;"2017";"10";"2017-10";"2017-10-16";31;23
"2017-10-16";"02:00:00";20.34645;38.2661;5.32501057406634;"2017";"10";"2017-10";"2017-10-16";31;23
"2017-10-16";"03:00:00";20.3109;38.26555;5.31852131753118;"2017";"10";"2017-10";"2017-10-16";31;23
