Sampling date	Depth water [m]	CSC flag	Sal	Temp [°C]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	pH	AT [µmol/kg]	DIC [µmol/kg]	Omega Cal	Omega Arg	pCO2water_SST_wet [µatm]	fCO2water_SST_wet [µatm]
2008-04-08T00:00:00	1	15	38.04000	13.7100	2035.3	209.7		2555.2	2258.2	4.9	3.1	343.9	342.6
2008-04-08T00:00:00	50	15	38.12000	13.3200	2048.2	201.9		2549.4	2263.9	4.7	3.0	355.3	354.0
2008-04-15T00:00:00	1	15	37.89000	13.8100	2029.3	208.8		2546.9	2251.3	4.9	3.1	343.8	342.5
2008-04-15T00:00:00	50	15	38.10000	13.3900	2050.6	201.5		2551.0	2265.9	4.7	3.0	357.8	356.5
2008-04-23T00:00:00	1	15	37.90000	14.3500	2028.5	209.4		2547.3	2251.1	4.9	3.1	351.1	349.8
2008-04-23T00:00:00	50	15	38.02000	13.7600	2038.8	206.1		2550.1	2258.3	4.8	3.1	351.2	349.9
2008-04-28T00:00:00	1	15	37.69000	16.1800	2019.2	215.3		2551.1	2247.5	5.0	3.3	365.8	364.5
2008-04-28T00:00:00	50	15	37.99000	13.8800	2040.5	206.3		2552.3	2260.2	4.8	3.1	353.0	351.7
2008-05-06T00:00:00	1	15	37.64000	16.8900	2020.5	215.9		2553.1	2249.5	5.1	3.3	376.7	375.3
2008-05-06T00:00:00	50	15	37.92000	14.9900	2026.3	213.1		2554.2	2252.4	4.9	3.2	354.0	352.7
2008-05-13T00:00:00	1	15	37.94000	17.2400	2016.8	215.6		2549.1	2245.6	5.0	3.3	384.2	382.8
2008-05-13T00:00:00	50	15	37.98000	16.2600	2023.4	213.7		2552.0	2250.2	4.9	3.2	373.2	371.8
2008-05-20T00:00:00	1	15	37.80000	18.0300	2012.4	213.4		2539.5	2239.2	5.0	3.2	398.9	397.5
2008-05-20T00:00:00	50	15	38.02000	15.1700	2058.6	196.4		2545.6	2269.7	4.5	2.9	400.4	399.0
2008-05-28T00:00:00	1	15	37.78000	18.4200	2025.3	207.3		2536.7	2246.7	4.8	3.1	423.1	421.6
2008-05-28T00:00:00	50	15	37.87000	17.9200	2000.7	219.0		2541.9	2232.5	5.1	3.3	382.4	381.0
2008-06-03T00:00:00	1	15	37.61000	19.9700	1994.9	220.9		2538.8	2228.8	5.2	3.4	410.9	409.5
2008-06-03T00:00:00	50	15	37.97000	16.4700	2023.2	211.5		2546.5	2248.0	4.9	3.2	380.3	378.9
2008-06-10T00:00:00	1	15	37.58000	20.9400	1979.6	227.1		2539.0	2219.5	5.3	3.5	410.3	408.9
2008-06-10T00:00:00	50	15	38.01000	15.0800	2028.5	208.7		2545.8	2250.5	4.8	3.1	364.4	363.0
2008-06-17T00:00:00	1	15	37.81000	21.0100	1996.2	217.0		2530.6	2226.9	5.1	3.3	440.0	438.5
2008-06-17T00:00:00	50	15	38.04000	14.5400	2036.7	206.2		2547.8	2256.4	4.8	3.1	363.0	361.7
2008-06-23T00:00:00	1	15	37.70000	22.6800	1979.5	219.2		2519.2	2212.2	5.1	3.4	459.5	457.9
2008-06-23T00:00:00	50	15	38.02000	14.6300	2035.5	205.3		2544.7	2254.4	4.7	3.1	365.5	364.2
2008-07-01T00:00:00	1	15	37.67000	25.2400	1971.9	229.3		2534.2	2214.7	5.4	3.6	485.8	484.3
2008-07-01T00:00:00	50	15	37.98000	14.7000	2026.9	206.1		2537.8	2246.3	4.8	3.1	361.9	360.6
2008-07-08T00:00:00	1	15	37.77000	24.4700	1971.1	232.0		2540.2	2216.2	5.5	3.6	465.3	463.8
2008-07-08T00:00:00	50	15	38.02000	14.4300	2031.5	205.2		2540.3	2250.1	4.7	3.1	361.0	359.7
2008-07-16T00:00:00	1	15	37.92000	22.2500	2002.0	217.1		2535.8	2233.0	5.1	3.3	467.8	466.3
2008-07-16T00:00:00	50	15	37.95000	15.8000	1994.2	221.5		2542.4	2227.9	5.1	3.3	342.3	341.1
2008-07-22T00:00:00	1	15	37.75000	23.7200	1979.4	232.6		2550.4	2225.0	5.5	3.6	453.1	451.6
2008-07-22T00:00:00	50	15	37.98000	15.4400	1985.9	222.6		2537.4	2220.5	5.2	3.3	332.6	331.4
2008-07-28T00:00:00	1	15	38.16000	23.3100	1972.8	236.1		2552.9	2221.7	5.5	3.6	439.3	437.9
2008-07-28T00:00:00	50	15	38.05000	14.6100	2016.2	214.1		2547.5	2243.0	5.0	3.2	343.8	342.6
2008-08-05T00:00:00	1	15	38.17000	25.8600	1951.5	246.6		2556.9	2210.5	5.8	3.8	458.9	457.4
2008-08-05T00:00:00	50												
2008-08-12T00:00:00	1												
2008-08-12T00:00:00	50												
2008-08-19T00:00:00	1	15	38.12000	23.9500	1968.4	239.5		2556.4	2220.5	5.6	3.7	442.8	441.4
2008-08-19T00:00:00	50	15	38.04000	14.4500	2034.9	206.7		2547.6	2255.1	4.8	3.1	360.0	358.7
2008-08-26T00:00:00	1												
2008-08-26T00:00:00	50												
2008-09-02T00:00:00	1	15	38.26000	25.2300	2003.8	218.5		2540.2	2237.0	5.1	3.4	532.5	530.8
2008-09-02T00:00:00	50	15	37.97000	14.9000	1972.3	237.0		2559.4	2220.3	5.5	3.5	300.6	299.5
2008-09-10T00:00:00	1	15	38.25000	22.7700	1968.8	242.5		2564.6	2223.6	5.7	3.7	417.0	415.6
2008-09-10T00:00:00	50	15	37.90000	16.6300	1981.2	223.2		2533.5	2216.5	5.2	3.3	347.6	346.3
2008-09-16T00:00:00	1												
2008-09-16T00:00:00	50	15	37.90000	16.7900	1972.8	242.7		2571.6	2226.6	5.6	3.6	319.2	318.1
2008-09-22T00:00:00	1	15	38.32000	22.5300	1968.6	244.8		2570.7	2225.6	5.7	3.8	409.4	408.0
2008-09-22T00:00:00	50	15	37.95000	16.8200	1979.4	227.1		2541.1	2218.5	5.3	3.4	344.2	343.0
2008-09-29T00:00:00	1	15	38.36000	21.5900	1994.4	236.4		2575.4	2243.5	5.5	3.6	418.0	416.7
